,Unnamed: 0,French,English
0,1,histoire,history
1,2,chercher,search
2,3,seulement,only
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,21,devrait,should
20,22,longtemps,long time
21,23,heures,hours
22,24,vont,will
23,25,pendant,while
24,26,revoir,meet again
25,27,aucune,any
26,28,place,square
27,29,parle,speak
28,30,compris,understood
29,31,savais,knew
30,32,étaient,were
31,33,attention,Warning
32,34,voici,here is
33,35,pourrais,could
34,36,affaire,case
35,37,donner,give
36,38,type,type
37,39,leurs,their
38,40,donné,given
39,41,train,train
40,42,corps,body
41,43,endroit,place
42,44,yeux,eyes
43,46,écoute,listen
44,48,trouve,find
45,49,premier,first
46,50,perdu,lost
47,51,main,hand
48,52,première,first
49,53,côté,side
50,55,vieux,old
51,56,sois,be
52,57,tiens,here
53,58,matin,morning
54,59,tellement,so much
55,60,enfant,child
56,61,point,point
57,62,venu,came
58,63,suite,after
59,64,pardon,sorry
60,65,venez,come
61,66,devant,in front of
62,67,vers,towards
63,68,minutes,minutes
64,69,demandé,request
65,70,chambre,bedroom
66,71,mis,placed
67,72,belle,beautiful
68,73,droit,law
69,74,aimerais,would like to
70,75,aujourd'hui,today
71,76,mari,husband
72,77,cause,cause
73,78,enfin,finally
74,79,espère,hope
75,80,eau,water
76,81,attendez,Wait
77,82,parti,left
78,83,nouvelle,new
79,84,boulot,job
80,85,arrêter,Stop
81,86,dirait,would say
82,87,terre,Earth
83,88,compte,account
84,89,donne,given
85,90,loin,far
86,91,fin,end
87,92,croire,believe
88,93,chérie,sweetheart
89,95,plutôt,rather
90,96,aura,will have
91,97,filles,girls
92,98,jouer,to play
93,99,bureau,office
